a,3,912
l,2,13
u,3,266
b,3,61
y,3,671
d,3,62
h,3,578
q,5,68
t,2,216
j,4,19
x,2,221
o,9,93
v,2,702
d,2,63
p,5,920
m,5,17
i,5,530
e,8,26
o,5,506
d,6,30
m,4,93
x,9,36
q,4,979
r,3,76
r,4,588
r,9,78
s,4,54
v,3,16
j,7,815
e,9,99
k,7,41
m,3,10
l,7,124
c,9,78
g,6,115
k,3,39
z,6,535
p,5,45
n,6,612
s,7,92
w,9,981
g,6,34
b,9,848
k,8,8
c,9,449
r,6,67
d,8,152
u,5,13
e,8,828
z,3,22
f,8,36
j,2,82
a,8,444
d,8,63
u,8,258
z,9,28
y,8,779
j,7,1
h,8,180
e,4,51
t,2,55
d,4,74
x,2,730
t,3,57
v,2,844
v,2,5
p,5,837
o,2,77
i,5,838
d,4,7
o,5,29
l,2,80
m,4,353
v,7,31
q,4,906
y,3,32
r,4,425
e,3,69
s,4,111
x,5,13
j,7,626
q,7,30
k,7,111
s,4,45
l,7,428
g,6,48
g,6,323
i,4,66
z,6,174
i,6,59
n,6,197
y,6,82
w,9,94
u,6,98
b,9,652
p,3,27
c,9,705
y,6,57
d,8,341
k,7,21
e,8,328
l,4,72
f,8,498
s,7,44
a,8,514
s,2,9
u,8,273
b,7,56
y,8,30
k,5,44
h,8,407
v,9,73
t,2,134
b,9,72
x,2,508
f,2,16
v,2,849
a,6,52
p,5,571
k,3,23
i,5,68
z,4,94
o,5,114
u,6,84
m,4,976
n,7,30
q,4,600
u,4,25
r,4,956
d,6,17
s,4,349
w,4,6
j,7,873
e,3,84
k,7,417
d,4,64
l,7,47
q,8,92
g,6,427
j,3,33
z,6,489
y,5,21
n,6,863
a,2,86
w,9,615
h,5,62
b,9,205
h,8,88
c,9,661
r,8,61
d,8,203
w,8,80
e,8,372
x,6,14
f,8,69
r,6,62
a,3,581
z,8,2
u,3,872
u,7,37
y,3,291
h,2,8
h,3,277
n,9,28
t,2,715
v,7,45
x,2,613
t,3,45
v,2,86
x,9,90
p,5,414
z,4,26
i,5,306
z,7,88
o,5,699
m,5,80
m,4,609
l,6,45
q,4,72
v,7,93
r,4,622
z,4,54
s,4,750
n,6,86
j,7,327
x,2,70
k,7,215
v,7,5
l,7,391
f,3,81
g,6,803
j,3,36
z,6,601
z,7,28
n,6,415
c,8,98
w,9,53
q,9,48
b,9,649
t,8,85
c,9,146
o,7,69
d,8,500
b,9,33
e,8,715
t,8,53
f,8,987
g,7,81
a,3,641
y,6,18
u,3,296
h,5,73
y,3,896
t,5,35
h,3,634
w,7,98
t,2,305
q,8,41
x,2,290
j,4,67
v,2,106
r,6,67
p,5,491
n,4,58
i,5,113
e,8,69
o,5,967
z,2,56
m,4,843
e,4,86
q,4,430
x,3,61
r,4,136
m,5,22
s,4,130
x,2,64
j,7,109
x,6,69
k,7,550
a,2,26
l,7,427
a,5,38
g,6,219
b,3,71
z,6,863
s,5,27
n,6,590
x,9,6
w,9,83
w,7,82
b,9,375
n,2,95
c,9,761
n,8,97
d,8,30
d,2,63
e,8,807
v,7,41
f,8,218
x,8,28
a,8,373
c,6,39
u,8,452
w,8,10
y,8,83
p,7,25
h,8,156
a,9,66
t,2,799
x,4,66
x,2,996
k,5,20
v,2,817
p,9,35
p,5,545
f,3,94
i,5,751
z,7,40
o,5,145
g,8,91
m,4,38
q,7,57
q,4,571
o,6,16
r,4,492
r,5,37
s,4,928
e,5,56
j,7,892
i,8,53
k,7,436
z,4,24
l,7,252
n,3,30
g,6,706
l,2,35
z,6,64
m,7,7
n,6,379
b,9,29
w,9,272
m,9,16
b,9,12
u,8,21
c,9,171
x,9,19
d,8,807
o,4,10
e,8,835
l,6,30
f,8,83
o,5,38
a,8,719
c,4,80
u,8,375
c,3,32
y,8,736
j,3,59
h,8,762
g,8,44
t,2,872
z,8,66
x,2,810
x,4,29
v,2,129
x,7,50
p,5,470
v,8,71
i,5,807
v,3,90
o,5,101
y,9,56
m,4,79
l,5,31
q,4,787
e,3,82
r,4,63
l,3,3
s,4,988
z,7,62
j,7,787
k,3,15
k,7,876
g,8,73
l,7,151
l,7,22
g,6,144
h,8,74
z,6,708
p,9,52
n,6,830
f,8,64
w,9,737
l,9,43
b,9,183
y,3,33
c,9,803
u,2,94
d,8,220
h,7,49
e,8,945
q,4,60
f,8,983
o,4,48
a,3,211
v,5,97
u,3,32
z,2,12
y,3,366
m,5,49
h,3,623
r,7,60
t,2,410
r,2,59
x,2,882
d,6,19
v,2,420
i,8,13
p,5,433
z,6,93
i,5,941
s,9,60
o,5,801
a,2,83
m,4,342
e,9,13
q,4,959
y,8,34
r,4,79
q,6,59
s,4,324
z,7,78
j,7,484
k,5,13
k,7,621
d,2,24
l,7,494
s,6,42
g,6,302
b,8,16
z,6,176
l,3,86
n,6,673
b,6,92
w,9,229
v,5,8
b,9,154
e,9,43
c,9,274
h,6,35
d,8,779
b,7,42
e,8,351
r,6,23
f,8,24
a,5,17
a,8,643
k,3,36
u,8,641
s,5,69
y,8,940
f,6,27
h,8,944
l,2,91
t,2,591
b,3,35
x,2,480
s,7,89
v,2,73
t,5,27
p,5,782
b,2,68
i,5,967
i,5,96
o,5,279
j,7,3
m,4,866
a,6,70
q,4,815
f,4,82
r,4,119
w,9,26
s,4,238
r,6,72
j,7,532
p,7,24
k,7,507
x,7,57
l,7,98
e,8,35
g,6,199
l,3,31
z,6,865
t,6,46
n,6,475
k,4,74
w,9,566
j,8,79
b,9,89
u,6,25
c,9,573
m,7,8
d,8,737
t,3,85
e,8,257
d,7,89
f,8,141
g,3,69
a,8,659
n,8,48
u,8,131
r,5,52
y,8,971
m,3,56
h,8,48
m,5,94
t,2,794
g,8,13
x,2,901
r,7,100
v,2,884
h,4,72
p,5,813
q,5,84
i,5,899
m,4,22
o,5,386
t,5,57
m,4,683
x,9,53
q,4,423
c,3,51
r,4,621
n,8,99
s,4,935
p,8,31
j,7,91
z,6,64
k,7,509
f,4,88
l,7,598
n,3,10
g,6,858
f,9,10
z,6,80
x,5,65
n,6,769
j,4,26
w,9,821
h,3,16
b,9,987
z,8,47
c,9,592
i,8,30
d,8,191
t,9,90
e,8,231
w,8,8
f,8,805
e,5,28
a,8,706
k,8,61
u,8,89
u,7,37
y,8,735
e,6,100
h,8,596
k,3,17
t,2,694
t,9,68
x,2,975
y,2,89
v,2,165
x,5,64
p,5,390
f,4,44
i,5,754
c,8,35
o,5,234
h,6,31
m,4,170
f,3,9
q,4,767
a,3,47
r,4,325
z,8,79
s,4,952
n,7,48
j,7,276
t,3,42
k,7,996
x,5,60
l,7,270
q,5,70
g,6,880
v,4,65
z,6,826
w,9,10
n,6,201
t,6,71
w,9,944
g,5,40
b,9,132
f,6,4
c,9,341
c,7,97
d,8,795
w,4,90
e,8,342
g,3,38
f,8,540
d,8,47
a,8,160
e,8,35
u,8,733
q,5,65
y,8,199
o,5,5
h,8,779
o,9,90
t,2,105
k,6,44
x,2,51
r,5,76
v,2,496
l,2,63
p,5,513
p,6,57
i,5,683
t,5,29
o,5,709
r,9,43
m,4,241
d,3,24
q,4,154
x,7,86
r,4,251
u,2,8
s,4,838
v,5,51
j,7,440
d,5,61
k,7,931
c,7,68
l,7,937
c,3,28
g,6,462
e,4,19
z,6,50
b,2,72
n,6,471
i,8,53
w,9,40
q,3,14
b,9,441
w,7,11
c,9,980
b,2,92
d,8,32
p,2,63
e,8,494
c,3,65
f,8,68
b,8,24
a,8,892
t,4,1
u,8,112
y,3,84
y,8,556
o,2,46
h,8,85
z,4,85
t,2,937
g,6,41
x,2,144
x,2,16
v,2,735
a,8,4
p,5,785
t,7,31
i,5,181
z,2,87
o,5,864
l,4,11
m,4,364
l,7,98
q,4,759
w,3,65
r,4,53
u,9,37
s,4,473
c,7,88
j,7,564
k,3,17
k,7,31
t,4,98
l,7,142
m,4,95
g,6,327
m,9,68
z,6,53
w,2,73
n,6,805
c,9,89
w,9,147
r,6,86
b,9,821
c,7,59
c,9,507
z,3,57
d,8,137
d,5,10
e,8,536
q,5,3
f,8,299
o,7,84
a,8,336
i,3,25
u,8,430
u,2,8
y,8,117
c,7,87
h,8,869
d,5,82
t,2,22
o,3,86
x,2,129
f,3,82
v,2,720
v,3,83
p,5,28
t,5,67
i,5,217
c,2,62
o,5,892
l,3,93
m,4,267
d,6,7
q,4,958
m,9,7
r,4,885
n,2,11
s,4,312
m,2,8
j,7,62
a,9,5
k,7,341
b,2,98
l,7,979
x,7,91
g,6,301
r,6,93
z,6,633
p,2,79
n,6,197
u,7,26
w,9,935
v,7,45
b,9,88
u,3,92
c,9,881
o,9,98
d,8,650
x,9,11
e,8,25
t,8,24
f,8,741
c,9,37
a,8,515
w,9,65
u,8,900
h,5,22
y,8,365
z,7,9
h,8,77
q,6,36
t,2,101
x,9,68
x,2,408
b,9,96
v,2,117
r,7,59
p,5,763
m,8,27
i,5,460
o,7,74
o,5,66
a,6,70
m,4,541
j,3,20
q,4,595
p,4,65
r,4,929
h,9,88
s,4,267
w,9,24
j,7,109
h,3,33
k,7,719
p,4,42
l,7,608
l,5,30
g,6,538
o,5,55
z,6,471
p,9,17
n,6,823
f,3,99
w,9,637
s,8,83
b,9,865
e,4,71
c,9,138
c,3,24
d,8,353
r,8,68
e,8,945
i,6,95
f,8,471
m,8,1
a,3,57
n,5,96
u,3,222
c,4,5
y,3,46
j,8,40
h,3,775
q,5,39
t,2,87
c,8,81
x,2,156
f,5,49
v,2,690
c,7,67
p,5,863
h,6,23
i,5,474
g,9,93
o,5,826
n,8,24
m,4,458
s,5,6
q,4,270
f,8,4
r,4,983
l,8,53
s,4,599
z,9,91
j,7,937
a,4,36
k,7,874
l,9,49
l,7,56
h,2,41
g,6,142
i,8,71
z,6,236
m,6,52
n,6,478
i,7,69
w,9,21
r,4,44
b,9,221
n,6,80
c,9,654
p,8,20
d,8,44
o,4,27
e,8,994
g,8,53
f,8,937
b,3,65
a,8,376
z,6,9
u,8,457
t,8,79
y,8,589
u,8,98
h,8,17
s,7,14
t,2,56
h,5,18
x,2,991
h,8,12
v,2,194
i,8,42
p,5,738
p,8,91
i,5,947
w,9,94
o,5,448
j,9,21
m,4,69
e,2,91
q,4,929
c,6,22
r,4,475
y,9,68
s,4,874
g,7,45
j,7,488
n,9,8
k,7,398
n,9,39
l,7,214
n,7,63
g,6,775
p,6,55
z,6,108
i,2,44
n,6,835
b,3,22
w,9,41
g,4,48
b,9,542
u,7,65
c,9,102
i,4,33
d,8,45
j,4,14
e,8,326
x,5,84
f,8,262
k,3,19
a,8,317
o,2,88
u,8,872
w,8,52
y,8,849
m,2,34
h,8,378
d,6,5
t,2,208
k,7,83
x,2,91
x,9,46
v,2,818
m,9,9
p,5,669
a,2,74
i,5,672
n,4,23
o,5,497
t,8,75
m,4,721
o,8,94
q,4,942
e,3,45
r,4,191
t,3,42
s,4,640
l,2,42
j,7,607
b,3,13
k,7,72
j,5,1
l,7,367
v,2,3
g,6,668
z,5,58
z,6,569
g,9,52
n,6,667
i,6,51
w,9,252
i,8,98
b,9,990
o,4,59
c,9,716
a,5,71
d,8,723
e,5,42
e,8,667
r,3,15
f,8,555
e,8,98
a,8,430
r,9,46
u,8,325
d,3,23
y,8,63
h,9,82
h,8,80
b,6,94
t,2,913
k,4,96
x,2,778
i,3,26
v,2,475
i,2,92
p,5,858
h,5,8
i,5,310
c,2,34
o,5,769
u,2,62
m,4,866
v,2,67
q,4,595
w,9,70
r,4,627
f,7,6
s,4,363
t,9,38
j,7,489
q,8,92
k,7,460
s,9,31
l,7,77
q,7,64
g,6,739
z,8,23
z,6,277
g,3,47
n,6,413
c,8,17
w,9,993
y,9,25
b,9,335
b,2,25
c,9,413
o,6,65
d,8,717
c,9,44
e,8,905
p,5,48
f,8,690
a,3,18
a,3,459
d,7,21
u,3,75
e,8,96
y,3,156
g,2,42
h,3,551
w,9,71
t,2,169
y,6,37
x,2,774
r,4,84
v,2,224
h,8,65
p,5,111
r,2,77
i,5,342
y,2,29
o,5,591
w,2,74
m,4,973
o,3,56
q,4,67
y,7,50
r,4,99
e,4,38
s,4,864
v,4,67
j,7,833
o,7,65
k,7,995
m,9,52
l,7,994
g,2,27
g,6,239
z,8,84
z,6,524
r,8,6
n,6,568
q,2,41
w,9,320
l,7,7
b,9,696
f,7,25
c,9,196
m,9,27
d,8,398
x,6,100
e,8,616
j,2,52
f,8,978
l,5,67
a,8,787
b,3,54
u,8,436
o,3,67
y,8,921
y,9,89
h,8,759
u,5,5
t,2,748
u,5,60
x,2,710
k,4,89
v,2,800
j,7,81
p,5,995
p,5,11
i,5,263
g,3,93
o,5,989
i,4,27
m,4,680
c,4,21
q,4,137
q,2,89
r,4,700
l,8,71
s,4,455
d,3,26
j,7,748
b,8,14
k,7,831
z,2,24
l,7,941
g,3,64
g,6,238
h,7,59
z,6,809
r,3,50
n,6,127
n,7,47
w,9,786
y,6,81
b,9,159
i,4,25
c,9,683
r,9,39
d,8,108
p,6,72
e,8,662
n,7,28
f,8,541
p,6,37
a,8,880
o,8,5
u,8,21
f,6,43
y,8,621
c,8,40
h,8,79
x,8,62
t,2,269
i,5,32
x,2,742
o,4,26
v,2,626
w,7,83
p,5,378
l,5,54
i,5,419
n,8,10
o,5,662
b,9,54
m,4,454
a,9,8
q,4,412
j,9,72
r,4,706
l,7,59
s,4,794
z,3,58
j,7,762
c,4,96
k,7,254
e,3,5
l,7,716
p,8,7
g,6,242
u,6,50
z,6,118
o,6,60
n,6,299
h,7,23
w,9,91
m,8,81
b,9,662
h,8,23
c,9,547
m,4,17
d,8,439
h,8,95
e,8,267
v,4,23
f,8,990
h,7,65
a,8,856
r,6,77
u,8,66
e,6,54
y,8,308
v,3,51
h,8,10
g,6,37
t,2,693
x,5,77
x,2,52
n,7,93
v,2,308
w,7,73
p,5,618
k,5,82
i,5,950
s,6,8
o,5,695
e,9,76
m,4,844
u,5,94
q,4,443
v,9,40
r,4,558
p,7,47
s,4,93
k,6,83
j,7,585
o,6,79
k,7,184
x,4,64
l,7,750
z,8,34
g,6,170
u,5,56
z,6,691
p,7,18
n,6,101
a,9,11
w,9,982
q,4,37
b,9,85
m,9,14
c,9,463
j,6,87
d,8,991
w,9,16
e,8,970
k,3,60
f,8,574
s,5,100
a,8,74
m,6,77
u,8,963
n,3,19
y,8,201
a,9,88
h,8,668
g,7,39
t,2,323
b,2,92
x,2,886
y,7,33
v,2,1000
z,9,77
p,5,661
i,2,58
i,5,311
o,4,95
o,5,560
g,4,30
m,4,932
p,9,17
q,4,613
g,4,36
r,4,969
d,3,25
s,4,276
f,9,54
j,7,239
f,2,22
k,7,440
e,2,85
l,7,124
y,4,12
g,6,656
t,5,39
z,6,974
s,3,28
n,6,692
m,8,71
w,9,124
u,4,96
b,9,731
i,9,96
c,9,32
y,6,21
d,8,316
p,3,7
e,8,588
a,5,7
f,8,335
f,5,45
a,8,796
y,6,45
u,8,752
k,3,94
y,8,770
y,6,100
h,8,412
o,3,35
t,2,924
h,9,80
x,2,832
u,9,2
v,2,694
u,2,87
p,5,692
h,9,33
i,5,203
d,5,49
o,5,136
v,5,90
m,4,557
u,7,52
q,4,376
a,2,12
r,4,908
p,2,56
s,4,281
y,2,54
j,7,62
f,6,35
k,7,899
w,8,86
l,7,80
m,4,50
g,6,204
y,7,100
z,6,293
e,7,10
n,6,43
w,6,27
w,9,500
d,9,23
b,9,601
y,8,70
c,9,862
i,2,21
d,8,941
y,9,67
e,8,577
v,2,31
f,8,352
m,6,5
a,3,750
m,9,83
u,3,506
t,3,65
y,3,740
x,8,28
h,3,600
o,8,71
t,2,602
g,2,78
x,2,408
r,6,9
v,2,11
d,3,52
p,5,171
q,8,79
i,5,446
b,5,39
o,5,368
x,5,1
m,4,748
u,5,55
q,4,385
l,9,9
r,4,164
s,8,34
s,4,540
h,8,61
j,7,348
o,3,65
k,7,454
q,8,71
l,7,12
n,6,27
g,6,329
p,2,12
z,6,660
v,8,11
n,6,143
u,6,69
w,9,222
x,8,49
b,9,265
l,8,87
c,9,915
h,6,52
d,8,728
u,7,90
e,8,613
u,8,80
f,8,367
a,9,79
a,8,126
y,5,52
u,8,51
w,6,84
y,8,148
q,9,93
h,8,635
g,2,82
t,2,490
j,8,12
x,2,922
j,8,34
v,2,569
i,7,96
p,5,294
g,4,14
i,5,797
j,2,96
o,5,592
v,7,83
m,4,559
z,8,66
q,4,358
i,7,22
r,4,639
h,5,99
s,4,147
p,9,75
j,7,107
j,8,22
k,7,917
x,8,69
l,7,725
u,9,54
g,6,164
m,7,50
z,6,39
u,7,51
n,6,687
t,7,28
w,9,999
g,6,71
b,9,201
y,6,30
c,9,517
m,8,50
d,8,422
d,2,22
e,8,846
g,9,80
f,8,306
w,9,18
a,8,375
s,9,94
u,8,453
o,7,75
y,8,195
v,8,56
h,8,421
r,9,8
t,2,230
m,2,72
x,2,919
m,2,40
v,2,845
j,3,27
p,5,778
i,3,26
i,5,517
e,6,21
o,5,870
u,7,64
m,4,684
y,8,41
q,4,930
z,3,91
r,4,746
h,3,5
s,4,268
c,5,54
j,7,79
t,6,78
k,7,993
o,6,11
l,7,671
y,7,60
g,6,424
x,9,82
z,6,658
a,2,93
n,6,167
t,9,65
w,9,881
u,2,27
b,9,679
k,2,64
c,9,328
t,4,31
d,8,769
e,5,6
e,8,332
d,9,54
f,8,258
z,7,93
a,8,648
k,5,24
u,8,833
p,2,70
y,8,969
k,5,68
h,8,323
p,2,100
t,2,697
r,7,92
x,2,546
p,3,12
v,2,418
c,5,67
p,5,489
b,8,98
i,5,132
x,4,95
o,5,494
b,4,92
m,4,121
y,4,84
q,4,380
i,7,100
r,4,699
g,6,97
s,4,551
l,7,93
j,7,456
y,6,2
k,7,297
e,9,66
l,7,813
y,7,38
g,6,242
v,3,42
z,6,501
h,3,35
n,6,940
e,5,58
w,9,986
b,3,42
b,9,181
x,3,51
c,9,310
v,9,57
d,8,497
i,2,40
e,8,219
k,6,90
f,8,70
v,2,9
a,3,435
i,5,83
u,3,505
c,2,1
y,3,394
o,4,19
h,3,576
c,7,3
t,2,53
p,4,45
x,2,878
s,3,2
v,2,148
p,9,73
p,5,154
l,2,69
i,5,437
d,2,28
o,5,135
o,4,80
m,4,390
h,5,82
q,4,187
o,5,57
r,4,438
y,8,71
s,4,170
a,4,21
j,7,464
t,4,70
k,7,731
d,5,5
l,7,964
a,2,91
g,6,257
p,8,34
z,6,58
r,9,84
n,6,858
g,4,87
w,9,176
t,6,16
b,9,875
c,9,89
c,9,365
w,5,97
d,8,527
f,7,9
e,8,777
u,8,10
f,8,635
b,4,7
a,8,275
h,3,96
u,8,84
g,7,91
y,8,31
q,6,87
h,8,78
m,8,43
t,2,325
g,8,81
x,2,81
s,3,92
v,2,974
o,8,20
p,5,217
p,9,64
i,5,877
l,2,19
o,5,626
y,8,76
m,4,14
s,2,98
q,4,715
w,9,74
r,4,898
p,4,31
s,4,765
k,4,69
j,7,495
h,4,41
k,7,846
m,5,99
l,7,945
c,8,20
g,6,772
d,6,13
z,6,168
y,7,98
n,6,930
x,9,57
w,9,604
s,6,88
b,9,327
m,7,83
c,9,708
x,4,65
d,8,783
h,4,42
e,8,817
c,5,54
f,8,411
u,9,33
a,8,875
y,5,95
u,8,221
f,7,31
y,8,750
w,7,57
h,8,183
z,2,49
t,2,477
q,4,41
x,2,999
z,9,10
v,2,94
i,4,33
p,5,800
j,5,61
i,5,29
z,7,36
o,5,668
l,9,95
m,4,666
k,9,22
q,4,936
w,4,68
r,4,844
w,6,83
s,4,288
s,6,92
j,7,176
x,4,36
k,7,12
r,6,75
l,7,627
l,2,35
g,6,486
i,4,97
z,6,375
a,7,24
n,6,612
q,5,84
w,9,322
q,4,21
b,9,759
q,7,61
c,9,501
k,9,92
d,8,90
v,4,17
e,8,514
u,7,85
f,8,850
q,3,74
a,8,728
h,6,28
u,8,989
r,7,92
y,8,525
p,9,55
h,8,160
a,8,52
t,2,330
v,2,88
x,2,604
c,3,65
v,2,825
x,4,64
p,5,770
q,6,48
i,5,66
c,2,53
o,5,658
a,6,54
m,4,754
g,9,25
q,4,504
t,3,62
r,4,533
f,5,42
s,4,355
i,8,43
j,7,550
j,8,38
k,7,62
f,7,64
l,7,65
f,6,9
g,6,967
o,5,39
z,6,788
e,8,56
n,6,465
p,2,64
w,9,78
h,7,82
b,9,856
y,2,11
c,9,191
f,6,77
d,8,108
n,9,94
e,8,602
r,8,89
f,8,859
z,9,47
a,8,932
q,4,51
u,8,838
o,7,100
y,8,628
e,2,75
h,8,65
b,9,51
t,2,990
i,8,68
x,2,179
s,9,2
v,2,453
k,5,92
p,5,29
o,6,86
i,5,547
c,6,28
o,5,897
l,4,87
m,4,899
a,2,81
q,4,839
q,5,71
r,4,863
s,7,30
s,4,94
q,3,17
j,7,707
s,8,14
k,7,172
e,4,2
l,7,419
r,2,24
g,6,175
j,6,18
z,6,36
r,9,43
n,6,248
v,4,15
w,9,48
d,9,52
b,9,912
b,5,71
c,9,320
h,3,35
d,8,73
p,7,50
e,8,322
k,8,30
f,8,188
o,7,73
a,3,189
x,6,43
u,3,955
i,5,61
y,3,900
b,6,4
h,3,199
q,3,64
t,2,895
p,9,24
x,2,908
c,7,91
v,2,249
p,7,71
p,5,129
z,3,43
i,5,769
u,4,8
o,5,597
j,9,56
m,4,621
m,7,89
q,4,319
u,8,98
r,4,240
r,9,88
s,4,261
g,7,69
j,7,128
c,5,60
k,7,235
h,6,92
l,7,32
i,6,11
g,6,889
z,9,75
z,6,237
c,8,5
n,6,426
l,8,14
w,9,124
y,2,5
b,9,838
r,6,22
c,9,62
w,2,14
d,8,532
t,6,23
e,8,581
f,4,29
f,8,888
